CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",y,,Insecta,dragonfly,Hemianax papuensis,Hemianax_papuensis,,volant,high,pursuit,"Lancer, Benjamin Horatio, Bernard John Essex Evans, and Steven D. Wiederman. 2020. “The Visual Neuroecology of Anisoptera.” Current Opinion in Insect Science 42: 14–22. https://doi.org/10.1016/j.cois.2020.07.002.",1.2,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,57.14,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,sphinx moth,Hippotion sp,Hippotion_irregularis,"HippotionÊsp. HŸbner, 1819",volant,low,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,126,146,mean and SE from AL;  106-146 Hz range of individual values ; no illuminance trial,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common Eggfly,Hypolimnas bolina,Hypolimnas_bolina_jacintha,"Hypolimnas bolinaÊLinnaeus, 1758",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,182,199,mean and SE from AL; 165-199 Hz range of individual values ; no illuminance trial,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,lemon pansy,Junonia lemonias,Junonia_lemonias_lemonias,"Junonia lemoniasÊLinnaeus, 1758",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,ERG,Electrophysiology,NA,203,203,individual values ; no illuminance trial,,
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",y,M,Insecta,Migbrown ratory Locust,Locusta migratoria,Locustaevora_migratoriae,"Locusta migratoriaÊLinnaeus, 1758",volant,low,forage,"Chyb, S. and Simpson, S.J., 1990. Dietary selection in adult Locusta migratoria. Entomologia experimentalis et applicata, 56(1), pp.47-60.",2,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,85,100,55-100 Hz nymphs: 30 min dark-adapted CFF with a mean of 49.5 Hz (range 40-80 Hz) for 10 individuals and 20 min light-adapted mean of 85.0 Hz (range 55-100 Hz); range of 40-90 (not enough values for mean for authors ; mean value = 66.3 Hz)  for 90 min dark-adapted ;,,
"Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard 2017 How flies are flirting on the fly How flies are flirting on the fly Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard",y,M,Insecta,Common green bottle fly,Lucilia sericata,Lucilia_sericata,"Lucilia sericataÊMeigen, 1826",volant,high,forage,based_on_Chrysomya_megacephala,0.0092,based_on_Chrysomya_megacephala,Behavioural,Behavioural,minimum,250,290,fly temporal encoding ability amply sufficient to distinguish 250 Hz ; even choice at 290 Hz,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,hawk moth,Macroglosssum sp,Macroglossum_limata,"MacroglossumÊsp. Scopoli, 1777",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,140.4,182,mean and SE from AL;  110-182 Hz range of individual values ; no illuminance trial,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common evening brown,Melanitis leda,Melanitis_leda_leda,"Melanitis ledaÊLinnaeus, 1758",volant,low,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,200.9,230,mean and SE from AL;  192-230 Hz range of individual values ; no illuminance trial,,
"Hammer, DX; Schmitz, H; Schmitz, A; Rylander, HG; Welch, AJ 2001 Sensitivity threshold and response characteristics of infrared detection in the beetle Melanophila acuminata (Coleoptera : Buprestidae) Sensitivity threshold and response characteristics of infrared detection in the beetle Melanophila acuminata (Coleoptera : Buprestidae) Hammer, DX; Schmitz, H; Schmitz, A; Rylander, HG; Welch, AJ",y,H,Insecta,Black fire beetle,Melanophila acuminata,Melanophila_acuminata,"Melanophila acuminataÊDeGeer, 1774",volant,high,forage,"Evans, W. G. (1964-04-11). ""Infra-red Receptors in Melanophila acuminata DeGeer"". Nature. 202 (4928): 211.",0.68,"based_on_allometry_of_a_-0.286_b_0.84_for Coleoptera_fromSohlström, E.H., Marian, L., Barnes, A.D., Haneda, N.F., Scheu, S., Rall, B.C., Brose, U. and Jochum, M., 2018. Applying generalized allometric regressions to predict live body mass of tropical and temperate arthropods. Ecology and evolution, 8(24), pp.12737-12749.",ERG,Electrophysiology,range,400,500,"of the pit organ (IR, not eyes) ; range ""not measured precisely"" ; only one irradiance",,
"de Souza, J. M., & Ventura, D. F. (1989). Comparative study of temporal summation and response form in hymenopteran photoreceptors. Journal of Comparative Physiology A, 165(2), 237–245. https://doi.org/10.1007/BF00619198",n,,Insecta,Tropical bee,Melipona quadrifasciata,Melipona_quadrifasciata_quadrifasciata,,volant,high,forage,"Maia-Silva, Camila, V. L. Imperatriz-Fonseca, C. I. Silva, and M. Hrncir. 2014. “Environmental Windows for Foraging Activity in Stingless Bees, Melipona Subnitida Ducke and Melipona Quadrifasciata Lepeletier (Hymenoptera: Apidae: Meliponini).” Sociobiology 61(4): 378–85.",0.1,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,67.1,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Commander,Moduza procris,Moduza_procris_milonia,"Moduza procrisÊCramer, 1777",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.2,Mean for Nymphalidae taken from Byrne et al. 1988,ERG,Electrophysiology,NA,199,199,individual values ; no illuminance trial,,
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",y,,Insecta,House fly,Musca domestica,Musca_domestica_vicina,,volant,high,forage,"Neupane, Saraswoti, Brandon Hall, Grant Brooke, and Dana Nayduch. 2023. “Sex-Specific Feeding Behavior of Adult House Flies, Musca Domestica L. (Diptera: Muscidae).” Journal of Medical Entomology 60(1): 7–13.",0.018,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,83.3,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia croslandi,Myrmecia_croslandi,,terrestrial,high,forage,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.003,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",ERG,Electrophysiology,,188.7,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia gulosa,Myrmecia_gulosa,,terrestrial,high,forage,"Ulrich, Jacob, and Mel Hart. 2022. “A Review of Jaw Morphology and Foraging Behaviour in the Bulldog Ant (Myrmecia Gulosa) Group.” Journal of Student Research 11(1): 1–21.",0.004,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",ERG,Electrophysiology,,151.6,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia midas,Myrmecia_midas,,terrestrial,low,forage,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",ERG,Electrophysiology,,84.6,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia pyriformis,Myrmecia_pyriformis_Smith_1858,,terrestrial,low,forage,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",ERG,Electrophysiology,,73.3,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia tarsata,Myrmecia_tarsata,,terrestrial,high,forage,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Sheehan, Zachary B.V., J. Frances Kamhi, Marc A. Seid, and Ajay Narendra. 2019. “Differential Investment in Brain Regions for a Diurnal and Nocturnal Lifestyle in Australian Myrmecia Ants.” Journal of Comparative Neurology 527(7): 1261–77.",ERG,Electrophysiology,,162.6,,,,
"Ogawa, Y., Narendra, A., & Hemmi, J. M. (2022). Nocturnal Myrmecia ants have faster temporal resolution at low light levels but lower adaptability compared to diurnal relatives. IScience, 25(4), 104134. https://doi.org/10.1016/j.isci.2022.104134",y,,Insecta,Bull ant,Myrmecia vindex,Myrmecia_vindex,,terrestrial,low,forage,"Haskins, Caryl P., and Edna F. Haskins. 1950. “Notes on the Biology and Social Behavior of the Archaic Ponerine Ants of the Genera Myrmecia and Promyrmecia.” Annals of the Entomological Society of America 43(4): 461–91.",0.004,"Based on body mass of sister species from Sheehan et al., 2019",ERG,Electrophysiology,,125.2,,,,
"Ogawa, Y., Jones, L., Ryan, L. A., Robson, S. K. A., Hart, N. S., & Narendra, A. (2023). Physiological properties of the visual system in the Green Weaver ant, Oecophylla smaragdina. Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology, 0123456789. https://doi.org/10.1007/s00359-023-01629-7",y,,Insecta,Green weaver ant,Oecophylla smaragdina,Oecophylla_smaragdina,,terrestrial,high,pursuit,"Bhagat, M., Jayalaxmi Ganguli, I., & Rashmi Gauraha, I. (2020). Predatory behaviour of red ant (Oecophylla smaragdina F) on various insect pests of different crops. Journal of Entomology and Zoology Studies, 8(4), 1396–1400. http://www.entomoljournal.com",0.003,"Chapuisat, M., & Keller, L. (2002). Division of labour influences the rate of ageing in weaver ant workers. Proceedings of the Royal Society B: Biological Sciences, 269(1494), 909–913. https://doi.org/10.1098/rspb.2002.1962",ERG,Electrophysiology,,132,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Lime butterfly,Papilio demoleus,Papilio_demoleus_demoleus,"Papilio demoleusÊLinnaeus, 1758",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,105,110,mean and SE from AL; 90-110 Hz range of individual values ; no illuminance trial,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common mormon,Papilio polytes,Papilio_polytes_polytes,"Papilio polytesÊLinnaeus, 1758",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,174.8,240,mean and SE from AL;  127-240 Hz range of individual values ; no illuminance trial,,
"NAKAGAWA, T; EGUCHI, E 1994 DIFFERENCES IN FLICKER FUSION FREQUENCIES OF THE 5 SPECTRAL PHOTORECEPTOR TYPES IN THE SWALLOWTAIL BUTTERFLYS COMPOUND EYE DIFFERENCES IN FLICKER FUSION FREQUENCIES OF THE 5 SPECTRAL PHOTORECEPTOR TYPES IN THE SWALLOWTAIL BUTTERFLYS COMPOUND EYE NAKAGAWA, T; EGUCHI, E",y,M,Insecta,Asian swallowtail,Papilio xuthus,Papilio_xuthus_koxingus,"Papilio xuthusÊLinnaeus, 1767",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.3,Mean for Papilionidae taken from Byrne et al. 1988,ERG,Electrophysiology,mean,107,107,mean FFFmax value for green photoreceptor cells ; 103 Hz for blue ; 90 Hz for UV ; 83 Hz for violet,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Indian wanderer,Pareronia hippia,Pareronia_ceylanica,"Pareronia valeriaÊCramer, 1776",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.1,Mean for Pieridae taken from Byrne et al. 1988,ERG,Electrophysiology,NA,113.25,113.25,individual values ; no illuminance trial,,
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",y,M,Insecta,American Cockroach,Periplaneta americana,Periplaneta_americana,"Periplaneta americanaÊLinnaeus, 1758",terrestrial,low,forage,"Bell, W.J. and Adiyodi, K.G. eds., 1982. The american cockroach. Springer Science & Business Media.",1.17,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,41.8,60,25-60 Hz range of values (not enough values for mean for authors ; mean value = 41.8 Hz)  ; 90 min dark-adapted,,
"Stowasser, A., Mohr, S., Buschbeck, E., & Vilinsky, I. (2015). Electrophysiology meets ecology: Investigating how vision is tuned to the life style of an animal using electroretinography. Journal of Undergraduate Neuroscience Education, 13(3), A234–A243.",y,,Insecta,Firefly,Photinus pyralis,Photinus_pyralis,,volant,low,forage,"Brattsten, L. B., and R. L. Metcalf. 1970. “The Synergistic Ratio of Carbaryl with Piperonyl Butoxide as an Indicator of the Distribution of Multifunction Oxidases in the Insecta.” Journal of economic entomology 63(1): 101–4.",,,ERG,Electrophysiology,,40,,,,
"de Souza, J. M., & Ventura, D. F. (1989). Comparative study of temporal summation and response form in hymenopteran photoreceptors. Journal of Comparative Physiology A, 165(2), 237–245. https://doi.org/10.1007/BF00619198",n,,Insecta,Red paper wasp,Polistes canadensis,Polistes_canadensis_canadensis,,volant,low,forage,"Montefusco, M., F. B. Gomes, A. Somavilla, and C. Krug. 2017. “Polistes Canadensis (Linnaeus, 1758) (Vespidae: Polistinae) in the Western Amazon: A Potential Biological Control Agent.” Sociobiology 64(4): 442–50.",0.1,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,42.5,,,,
"de Souza, J. M., & Ventura, D. F. (1989). Comparative study of temporal summation and response form in hymenopteran photoreceptors. Journal of Comparative Physiology A, 165(2), 237–245. https://doi.org/10.1007/BF00619198",n,,Insecta,Ant,Pseudomyrmex phyllophilus,Pseudomyrmex_phyllophilus,,terrestrial,high,forage,"Rubin, Benjamin E.R., Stefanie Kautz, Brian D. Wray, and Corrie S. Moreau. 2019. “Dietary Specialization in Mutualistic Acacia-Ants Affects Relative Abundance but Not Identity of Host-Associated Bacteria.” Molecular Ecology 28(4): 900–916.",,,ERG,Electrophysiology,,108.7,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,plain grey hawkmoth,Psilogramma increta,Psilogramma_increta,"Psilogramma incretaÊWalker, 1864",volant,low,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",1,Mean for Sphingidae taken from Byrne et al. 1988,ERG,Electrophysiology,NA,171,171,individual values ; no illuminance trial,,
"Salama, H.S. and Abdel-Razek, A.S., 2002. Development of the red palm weevil, Rhynchophorus ferrugineus (Olivier),(Coleoptera, Curculionidae) on natural and synthetic diets. Anzeiger fŸr SchŠdlingskunde= Journal of pest science, 75(5), pp.137-139.",y,Not_appraised,Insecta,Asian palm weevil,Rhynchophorus ferrugineus,Rhynchophorus_ferrugineus,,volant,high,forage,"Peri, E., Rochat, D., Belu_i_, G., Ili_, M., Soroker, V., Barkan, S., Guarino, S., Bue, P.L. and Colazza, S., 2017. Rhynchophorus ferrugineus: behavior, ecology, and communication. Handbook of major palm pests: Biology and management, pp.105-130.",0.94,"Aldawood, A. S., Rasool, K. G., Sukirno, S., Husain, M., Sutanto, K. D., & Alduailij, M. A. (2022). Semi-artificial diet developed for the successful rearing of red palm weevil: Rhynchophorus ferrugineus (Coleoptera: Dryophthoridae) in the laboratory. Journal of King Saud University - Science, 34(7), 102272. https://doi.org/10.1016/j.jksus.2022.102272",ERG,Electrophysiology,,100,100,,,
"Miall, RC 1978 The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ The flicker fusion frequencies of six laboratory insects, and the response of the compound eye to mains fluorescent ÔrippleÕ Miall, RC",y,M,Insecta,Emperor moth,Saturnia pavonia,Saturnia_pavonia,"Saturnia pavoniaÊLinnaeus, 1758",volant,low,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.24,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,76.7,85,65-85 Hz range of values (not enough values for mean for authors ; mean value = 76.7 Hz ; 90 min dark-adapted,,
"Howard, J., Dubs, A., & Payne, R. (1984). The dynamics of phototransduction in insects - A comparative study. Journal of Comparative Physiology A, 154(5), 707–718. https://doi.org/10.1007/BF01350224",y,,Insecta,Purple-winged mantis,Tenodera australasiae,Tenodera_australasiae,,terrestrial,high,ballistic,"McCue, Marshall D., Isabella Salinas, Gabriella Ramirez, and Shawn Wilder. 2016. “The Postabsorptive and Postprandial Metabolic Rates of Praying Mantises: Comparisons across Species, Body Masses, and Meal Sizes.” Journal of Insect Physiology 93–94: 64–71. http://dx.doi.org/10.1016/j.jinsphys.2016.08.008.",6,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,55.3,,,,
"de Souza, J. M., & Ventura, D. F. (1989). Comparative study of temporal summation and response form in hymenopteran photoreceptors. Journal of Comparative Physiology A, 165(2), 237–245. https://doi.org/10.1007/BF00619198",n,,Insecta,Tropical bee,Trigona spinipes,Trigonisca_rondoni,,volant,low,forage,"Renner, Susanne. 2010. “The Widespread Occurrence of Anther Destruction by Trigona Bees in Melastomataceae Published by?: The Association for Tropical Biology and Conservation The Widespread Occurrence of Anther Destruction by Trigona Bees in Melastomataceae.” 15(4): 251–56.",0.02,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,,59.5,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Grass demon,Udaspes folus,Udaspes_folus,"Udaspes folusÊCramer, 1775",volant,high,forage,"Powell, J.A., 2009. Lepidoptera: moths, butterflies. In Encyclopedia of insects (pp. 559-587). Academic Press.",0.06,"Tiple, A. D., Khurad, A. M., & Dennis, R. L. H. (2009). Adult butterfly feeding-nectar flower associations: Constraints of taxonomic affiliation, butterfly, and nectar flower morphology. Journal of Natural History, 43(13–14), 855–884. https://doi.org/10.1080/00222930802610568",ERG,Electrophysiology,NA,126,126,individual values ; no illuminance trial,,
"Buschbeck, EK; Ehmer, B; Hoy, RR 2003 The unusual visual system of the Strepsiptera: external eye and neuropils The unusual visual system of the Strepsiptera: external eye and neuropils Buschbeck, EK; Ehmer, B; Hoy, RR",y,H,Insecta,parasite wasp,Xenos peckii,Xenos_peckii,"Xenos peckiÊKirby, 1813",volant,high,forage,"Druart, G., GuŽrineau, N., Ha•dar, R., ThŽtas, S., Taboury, J., Rommelure, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",0.00102,"Druart, G., GuŽrineau, N., Ha•dar, R., ThŽtas, S., Taboury, J., Rommelure, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",ERG,Electrophysiology,mean,35,35,"""exceeds 35 Hz on average""; ""critical fusion frequency lies around""",,
"Cohen, Jonathan H.; Frank, Tamara M. 2006 Visual physiology of the Antarctic amphipod Abyssorchomene plebs Visual physiology of the Antarctic amphipod Abyssorchomene plebs Cohen, Jonathan H.; Frank, Tamara M.",y,M,Malacostraca,Physiology Oogy ofogy of Ant,Abyssorchomene plebs,Abyssorchomene_plebs,"Pseudorchomene plebsÊHurley, 1965",demersal,low,forage,scavenger_from _description_in_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),0.1,Based_on_length_of_1.47_cm_from_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),ERG,Electrophysiology,mean,15,15.6,"scotopic: at 7¡C, but 11,7 Hz at 3¡C ; mean values : highest CFF values; ""deep sea""; ca. 0.2 relaive irradiance",,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,Oplophorid shrimp,Acanthephyra purpurea,Acanthephyra_purpurea,"Acanthephyra purpureaÊA.Milne-Edwards, 1881",pelagic,low,ballistic,"active_carnivore_from_Frank, T.M., 2003. Effects of light adaptation on the temporal resolution of deep-sea crustaceans. Integrative and comparative biology, 43(4), pp.559-570.",1.4,"Rospars, J. P., & Meyer-Vernet, N. (2021). How fast do mobile organisms respond to stimuli? Response times from bacteria to elephants and whales. Physical Biology, 18(2). https://doi.org/10.1088/1478-3975/abcd88",ERG,Electrophysiology,mean,18,19.3,"mean ; scotopic; 16Hz photopic; ""deep-sea"" considered as Low light exposure",,
